Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.509556867438524,0.0604803236342083,b3553,b1241,b0351,b3926,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1033,b3945,b1602,b2913,b4381,b0529,b2492,b0904,b1380,b1511,b0606,b2285,b1009,,,,,,,,,,,,,,,,
26,0.50957491304848,0.0602541758714163,b4467,b1241,b0351,b3926,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b0261,b3945,b1602,b0153,b4381,b0529,b2492,b0904,b0591,b1380,b2660,b0606,b2285,b1009,,,,,,,,,,,,,,,,
26,0.509597303163594,0.0563928020251664,b3553,b1241,b0351,b3926,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b3945,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1517,b0606,b2285,b1011,,,,,,,,,,,,,,,,
26,0.50961535163774,0.0561664915713475,b4467,b1241,b0351,b3926,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0261,b3945,b1602,b4381,b3915,b0529,b1539,b2492,b0904,b1380,b2660,b0606,b2285,b1008,,,,,,,,,,,,,,,,
26,0.509597303163553,0.0563928019846366,b3553,b1241,b0351,b3926,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1771,b1517,b0606,b2285,b1010,,,,,,,,,,,,,,,,
27,0.43803170897125,3.54426669923115,b4467,b3942,b1732,b1241,b0351,b3926,b2930,b4232,b3697,b3925,b0871,b1004,b3713,b1109,b0046,b3236,b2690,b2210,b3945,b1602,b2913,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,,
27,0.451530743346073,2.26151711539718,b4467,b1241,b0351,b3926,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b1493,b3517,b3945,b1602,b0507,b2975,b3603,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,,,,,
27,0.44323118490186,2.07911513450517,b4467,b0474,b2518,b1241,b0351,b3926,b0871,b2925,b2097,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b3946,b0825,b4015,b1602,b2913,b2492,b0904,b1380,b1771,b0606,b2285,,,,,,,,,,,,,,,
27,0.446749373987053,1.77039605559448,b3553,b1241,b0351,b3926,b0871,b2925,b2097,b2926,b1004,b3713,b1109,b0046,b3236,b2690,b1525,b2210,b1033,b2661,b3945,b1602,b2492,b0904,b1380,b2660,b0606,b2285,b4209,,,,,,,,,,,,,,,
27,0.471012755474211,1.38027227306258,b3553,b1241,b0351,b3926,b0871,b2779,b2925,b2097,b1004,b3713,b1109,b0046,b3124,b3236,b2690,b1033,b3945,b1602,b2913,b4381,b2492,b0904,b1380,b0514,b0606,b2285,b4209,,,,,,,,,,,,,,,
27,0.471012755474265,1.38027227306269,b4467,b1241,b0351,b3926,b2930,b4232,b3697,b3925,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b2690,b4015,b3945,b1602,b2913,b4381,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,,
27,0.489242264378719,1.20965311898805,b3553,b1241,b0351,b3926,b2930,b4232,b3697,b3925,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b2690,b1033,b3945,b1602,b2913,b4381,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,,
27,0.544948920606516,1.0088042647762,b4467,b1241,b0351,b3926,b2779,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b1525,b3946,b0825,b4015,b2661,b3945,b1602,b3915,b1539,b1380,b2660,b0606,b0221,b2285,b4209,,,,,,,,,,,,,,,
27,0.467853307473588,0.324150994453587,b4467,b1241,b0351,b4069,b3926,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b1602,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1771,b1518,b0606,b2285,b1009,,,,,,,,,,,,,,,
27,0.46785330747359,0.324150994388588,b4467,b1241,b0351,b4069,b3926,b2297,b2458,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b3945,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1518,b0606,b2285,b1010,,,,,,,,,,,,,,,
27,0.502940625483791,0.132870626495975,b2836,b3553,b1241,b0351,b3926,b0871,b2779,b1004,b3713,b1109,b0046,b3236,b1033,b3945,b1602,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,,
27,0.502940625483781,0.132870626456193,b4467,b1241,b0351,b3926,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b1602,b2342,b3845,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1771,b1517,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,,
27,0.50295820550866,0.132649945656297,b4467,b3846,b2341,b1241,b0351,b3926,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b0261,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1771,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,,
27,0.5029582055086,0.13264994561738,b4467,b1241,b0351,b3926,b0871,b2926,b1004,b3713,b1109,b0046,b3236,b0261,b3945,b1602,b2342,b3845,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1007,b4209,,,,,,,,,,,,,,,
27,0.502958205508612,0.132649945582046,b4467,b3846,b2341,b1241,b0351,b3926,b0871,b2779,b1004,b3713,b1109,b0046,b3236,b0261,b1602,b2913,b4381,b3915,b0529,b2492,b0904,b1380,b1771,b0606,b2285,b1009,b4209,,,,,,,,,,,,,,,
27,0.509556867438476,0.0604803236931559,b4467,b1241,b0351,b3926,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b3945,b1602,b0153,b4381,b0590,b0755,b3612,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1011,,,,,,,,,,,,,,,
27,0.509556867438455,0.0604803236333613,b3553,b1241,b0351,b3926,b0871,b2779,b3844,b1004,b3713,b1109,b0046,b3236,b0937,b1033,b1602,b4381,b0529,b1539,b2492,b0904,b1380,b2660,b1771,b1511,b0606,b2285,b1008,,,,,,,,,,,,,,,
27,0.50957491304848,0.0602541758714211,b3553,b1241,b0351,b3926,b0871,b2926,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b0261,b1602,b0153,b2913,b4381,b0584,b0529,b2492,b0904,b1380,b1771,b0606,b2285,b1011,,,,,,,,,,,,,,,
27,0.509597303163556,0.0563928020583997,b3553,b1241,b0351,b3926,b0871,b3844,b1004,b3713,b1109,b0046,b3236,b1033,b3945,b1602,b4381,b3915,b0755,b3612,b0529,b2492,b0904,b1380,b2660,b1511,b0606,b2285,b1007,,,,,,,,,,,,,,,
27,0.502940625483798,0.132870626457246,b4467,b1241,b0351,b3926,b0871,b2779,b1004,b3713,b1109,b0046,b3236,b3945,b1602,b2342,b3845,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1511,b0606,b2285,b1007,b4209,,,,,,,,,,,,,,,
27,0.502958205508612,0.132649945623451,b3553,b1241,b0351,b3926,b0871,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b0261,b1602,b4381,b3915,b0452,b0529,b2492,b0904,b1380,b2660,b1771,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,,
27,0.502940625483793,0.132870626503391,b2836,b3553,b1241,b0351,b3926,b0871,b1004,b3713,b1109,b0046,b3236,b1779,b1033,b3945,b1602,b4381,b3915,b0529,b2492,b0904,b1380,b2660,b1517,b0606,b2285,b1010,b4209,,,,,,,,,,,,,,,
28,0.439727705326063,2.54818071808586,b4467,b3846,b2341,b1241,b0351,b3926,b0871,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b2690,b1302,b2662,b4015,b0726,b3945,b1602,b1380,b2660,b0606,b2285,b3893,b1474,b4209,,,,,,,,,,,,,,
28,0.451894849476806,1.12107774978165,b4467,b1241,b0351,b3926,b2925,b2097,b1004,b3713,b1109,b0046,b3236,b1779,b1525,b3946,b0825,b4015,b2661,b3945,b1602,b2913,b0452,b1539,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,,,,,,
28,0.474582825881801,1.0762959500027,b4467,b1241,b0351,b4069,b3926,b2297,b2458,b3844,b1004,b3713,b1109,b0046,b3236,b1779,b0261,b3945,b1602,b0153,b4381,b0590,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1009,,,,,,,,,,,,,,
