Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.577658965654796,1.10745513109212,b3399,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2407,b1982,b3616,b3589,b0675,b2361,b4381,b2868,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.577658965654851,1.10745513122527,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b0160,b1238,b1982,b3616,b3589,b0675,b2361,b4381,b2868,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.577658965654803,1.10745513117138,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b1982,b3616,b3589,b3665,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.577689981319751,1.10738519016627,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2883,b1982,b0261,b0411,b4381,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.577658965654796,1.10745513118286,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1982,b3616,b3589,b1623,b3665,b0675,b2361,b2291,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.577658965654817,1.10745513117751,b3399,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b3665,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.555984162088418,1.05122900044017,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b2883,b0907,b1982,b0675,b2361,b0261,b4381,b2868,b4064,b4464,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.564329661056813,0.555748276179088,b1241,b0351,b3831,b4069,b4384,b2744,b2297,b2458,b2779,b0030,b2407,b1982,b2498,b3616,b3589,b3665,b0411,b0114,b0529,b2492,b0904,b3662,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.570812597949541,0.252304020213873,b0474,b2518,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0030,b2407,b3236,b1982,b2210,b3665,b4381,b0114,b0529,b2492,b0904,b1511,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.534300853787155,1.02433140878926,b1241,b0351,b4069,b4384,b2744,b0512,b3115,b1849,b2296,b2779,b3617,b0030,b2407,b3236,b1982,b2210,b4381,b0511,b0114,b0529,b2492,b0904,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
