Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
5,0.258399857817637,0.236175918998759,YKL085W,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,,,
6,0.171016218181618,0.203820220988184,YGR087C,YLR044C,YLR134W,YNL104C,YGR244C,YLR348C,,,,,,,,,,,
6,0.171016218182486,0.203820220853631,YGR087C,YLR044C,YLR134W,YDR148C,YNL104C,YLR348C,,,,,,,,,,,
7,0.224808253465559,1.05273288191508,YER065C,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
7,0.17101621818075,0.20382022534157,YGR087C,YLR044C,YLR134W,YNL104C,YLR348C,YKL148C,YKL141W,,,,,,,,,,
7,0.172319913672956,0.202324704530609,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YDR148C,YLR348C,,,,,,,,,,
7,0.172319913671221,0.202324706545969,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YGR244C,YLR348C,,,,,,,,,,
7,0.224957848767607,1.08707648601688,YMR189W,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
7,0.224808253451679,1.0527328253923,YFL030W,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
7,0.170738682014495,0.19956033035857,YGR087C,YLR044C,YLR134W,YPR021C,YDL066W,YNL104C,YLR348C,,,,,,,,,,
7,0.224957848781483,1.08707648279003,YBR263W,YLR142W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,,
8,0.224091478570537,1.08802492752299,YHR037W,YOR323C,YBR263W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.224091478598293,1.08802490939398,YHR037W,YOR323C,YMR189W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.223943032942866,1.05381280761383,YHR037W,YOR323C,YER065C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.222900336733601,1.09745644773931,YLR027C,YOR323C,YER065C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.152880709963464,1.18979515483587,YGR087C,YLR044C,YLR134W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.2229003367336,1.09745644530635,YLR027C,YFL030W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.223204596329976,1.08899575271468,YLR027C,YOR323C,YBR263W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.223204596329976,1.08899575271468,YLR027C,YBR263W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.224091478570537,1.08802492752299,YHR037W,YBR263W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
8,0.224091478598293,1.08802490939398,YHR037W,YMR189W,YDR300C,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,,,
10,0.183820503197926,1.11151414970313,YOL086C,YDL168W,YGL256W,YBR145W,YFL030W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,
10,0.174593811339321,0.0339288871706701,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YGR087C,YLR044C,YLR134W,YDR148C,YLR348C,,,,,,,
10,0.184080042665183,1.10448869466846,YOL086C,YDL168W,YGL256W,YBR145W,YMR189W,YLR348C,YKL148C,YKL141W,YDL085W,YMR145C,,,,,,,
11,0.174593811341055,0.0339288775689539,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YGR087C,YLR044C,YLR134W,YLR348C,YKL148C,YKL141W,,,,,,
11,0.169081169377344,0.00181422993553175,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YCL025C,YKR039W,YDR300C,YNL104C,YLR348C,,,,,,
14,0.127574326571759,2.21101203629475,YHR104W,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YOR348C,YLR027C,YPL265W,YCL025C,YKR039W,YOL020W,YNL104C,,,
14,0.158617837619385,0.463772450593483,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR348C,YLR027C,YPL265W,YCL025C,YKR039W,YOL020W,YDL066W,YHR208W,YLR348C,,,
15,0.130224227478542,1.79750471038018,YHR104W,YGR087C,YLR044C,YLR134W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YOL020W,YDR536W,YMR250W,YGR244C,YLR348C,YKL085W,,
15,0.135078760563324,0.565843122771248,YHR104W,YGR087C,YLR044C,YLR134W,YDL210W,YOR348C,YFL055W,YPL265W,YCL025C,YKR039W,YOL020W,YDR536W,YGR244C,YLR348C,YKL085W,,
17,0.125632624379706,2.24436330299481,YHR104W,YBR068C,YDR046C,YBR069C,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YOR348C,YDR508C,YPL265W,YCL025C,YKR039W,YOL020W,YLR348C,YKL085W
