Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.276554548811036,0.627517205197865,STM0051,STM2421,STM1749,STM2463,STM4275,STM2009,STM3709,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,STM3968,,,,,,,,,,,
15,0.276526930167522,0.627454537004297,STM2927,STM2421,STM1749,STM2463,STM4275,STM2009,STM4567,STM3709,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM0208,,,,,,,,,,,
15,0.276493756496307,0.627379264152945,STM2927,STM2421,STM1749,STM2463,STM4275,STM2009,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,,,,,,,,,,,
15,0.277558583259579,0.596464235991568,STM2927,STM3747,STM0413,STM1749,STM2463,STM3680,STM4570,STM3709,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM0935,,,,,,,,,,,
15,0.277558583259579,0.596464235991568,STM2927,STM3747,STM0413,STM1749,STM2463,STM3680,STM4570,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM0935,STM3708,,,,,,,,,,,
15,0.277558583259579,0.596464235991558,STM2927,STM3747,STM1749,STM2463,STM3680,STM4570,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,STM3708,,,,,,,,,,,
15,0.278022782812472,0.593321470230468,STM2927,STM0413,STM1749,STM2463,STM3680,STM2009,STM3709,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,,,,,,,,,,,
15,0.282422893737661,0.576018154728693,STM3747,STM0051,STM2421,STM1749,STM2463,STM3680,STM4568,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,,,,,,,,,,,
15,0.282422893737671,0.576018154728717,STM3747,STM0051,STM2421,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM2422,STM3708,,,,,,,,,,,
15,0.282422893737659,0.576018154728708,STM2927,STM3747,STM2421,STM1749,STM2463,STM3680,STM4568,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,,,,,,,,,,,
15,0.282422893737672,0.57601815472871,STM2927,STM3747,STM1749,STM2463,STM3680,STM4570,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,STM0208,STM3708,STM4559_S,,,,,,,,,,,
15,0.282915062419879,0.572808790684505,STM0051,STM2421,STM1749,STM2463,STM0661,STM3680,STM2009,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3708,STM3334,,,,,,,,,,,
15,0.282915062419886,0.572808790684513,STM0051,STM2421,STM1749,STM2463,STM0661,STM3680,STM2009,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3334,,,,,,,,,,,
15,0.282903520467451,0.572785422074161,STM2927,STM2421,STM1749,STM2463,STM3680,STM2009,STM4568,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,,,,,,,,,,,
15,0.282903520467479,0.572785422074236,STM0051,STM2421,STM1749,STM2463,STM3680,STM2009,STM4568,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,,,,,,,,,,,
15,0.282903520467446,0.572785422074214,STM2927,STM0413,STM1749,STM2463,STM3680,STM2009,STM4567,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,STM3708,STM4559_S,,,,,,,,,,,
15,0.284042179916448,0.564472763515214,STM2927,STM1463,STM3747,STM2421,STM1749,STM2463,STM3680,STM4567,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM0208,,,,,,,,,,,
