Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.352630665672123,0.0341423945574562,PHATRDRAFT_23908,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.352630665672126,0.0341423945573827,PHATRDRAFT_23908,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.352630665672179,0.034142394557391,PHATRDRAFT_23908,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.352630665672177,0.0341423945573515,PHATRDRAFT_23908,PHATRDRAFT_45947,PHATRDRAFT_28068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359067831172782,0.00263738912674719,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359067831172895,0.00263738912674799,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.269607949128447,0.440475140742933,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.359067831172883,0.00263738912673379,PHATRDRAFT_13643,Phatr3_EG02215,PHATRDRAFT_55035,PHATRDRAFT_40430,PHATRDRAFT_859,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.359067831172896,0.00263738912674804,PHATRDRAFT_55192,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_36390,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.359067831172883,0.00263738912673379,PHATRDRAFT_13643,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_36390,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.269607949128335,0.440475140742399,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.358799145098709,0.00395240211264243,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_54731,PHATRDRAFT_859,PHATRDRAFT_18064,PHATRDRAFT_13005,PHATRDRAFT_50084,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.359008589357922,0.00292733253474086,PHATRDRAFT_51092,PHATRDRAFT_27726,PHATRDRAFT_12902,PHATRDRAFT_49229,PHATRDRAFT_16571,PHATRDRAFT_49112,PHATRDRAFT_13476,PHATRDRAFT_20183,PHATRDRAFT_draft1186,PHATRDRAFT_55126,PHATRDRAFT_52208,PHATRDRAFT_12757,PHATRDRAFT_8691,PHATRDRAFT_40430,PHATRDRAFT_13951,PHATRDRAFT_45239,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,Phatr3_EG02361,PHATRDRAFT_47090,PHATRDRAFT_1341,PHATRDRAFT_44782,PHATRDRAFT_28797,PHATRDRAFT_15140,PHATRDRAFT_20504,Phatr3_EG02569,PHATRDRAFT_21970,PHATRDRAFT_42245,PHATRDRAFT_43697,PHATRDRAFT_draft18,PHATRDRAFT_15815
