Deletion size,Max growth rate,Min production rate,Deleted genes,,,
2,0.314016270583868,0.0247922607679278,PHATRDRAFT_draft521,PHATRDRAFT_31544,,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_38946,PHATRDRAFT_23723,
3,0.314016270583826,0.0247922607679387,PHATRDRAFT_54015,PHATRDRAFT_31544,PHATRDRAFT_21970,
3,0.314016270579382,0.024792260767422,PHATRDRAFT_draft521,PHATRDRAFT_48078,PHATRDRAFT_5423,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_55069,PHATRDRAFT_5423,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_17720,PHATRDRAFT_20318,
3,0.314016270583927,0.0247922607679811,PHATRDRAFT_draft521,PHATRDRAFT_48078,PHATRDRAFT_12331,
3,0.314016270584037,0.0247922607678171,PHATRDRAFT_draft521,PHATRDRAFT_23913,YP_874486_AT1,
3,0.314016270583981,0.0247922607678264,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_23723,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_19979,PHATRDRAFT_38946,
3,0.314016270584433,0.0247922607679812,PHATRDRAFT_draft521,PHATRDRAFT_35691,PHATRDRAFT_42245,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_17720,YP_874486_AT1,
3,0.314016270579382,0.024792260767422,PHATRDRAFT_draft521,PHATRDRAFT_48078,PHATRDRAFT_47293,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_19979,PHATRDRAFT_38085,
3,0.314016270584433,0.0247922607679812,PHATRDRAFT_draft521,PHATRDRAFT_5423,PHATRDRAFT_42245,
3,0.31401627058503,0.024792260768379,PHATRDRAFT_draft521,PHATRDRAFT_38946,PHATRDRAFT_31436,
4,0.314016270583924,0.0247922607679499,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_38946,PHATRDRAFT_21970
4,0.314016270583712,0.024792260767872,PHATRDRAFT_54015,PHATRDRAFT_19979,PHATRDRAFT_35691,PHATRDRAFT_21970
4,0.314016270583712,0.024792260767872,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_38946,PHATRDRAFT_21970
4,0.314016270583949,0.0247922607678396,PHATRDRAFT_54015,PHATRDRAFT_41969,PHATRDRAFT_38085,PHATRDRAFT_28181
4,0.314016270583978,0.0247922607679752,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_47293,PHATRDRAFT_21970
4,0.314016270583944,0.024792260768009,PHATRDRAFT_54015,PHATRDRAFT_55069,PHATRDRAFT_12331,PHATRDRAFT_21970
4,0.314016270583924,0.0247922607680058,PHATRDRAFT_54015,PHATRDRAFT_35691,PHATRDRAFT_21970,PHATRDRAFT_51970
4,0.314016270583924,0.0247922607679499,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_47293,PHATRDRAFT_21970
4,0.314016270583922,0.0247922607678485,PHATRDRAFT_draft521,PHATRDRAFT_45947,PHATRDRAFT_28068,PHATRDRAFT_20318
4,0.314016270583712,0.024792260767872,PHATRDRAFT_54015,PHATRDRAFT_17720,PHATRDRAFT_35691,PHATRDRAFT_21970
4,0.314016270584124,0.0247922607679483,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_47293,PHATRDRAFT_28181
