Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.516091389420254,0.507821196926044,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1238,b1982,b3616,b3589,b0675,b2361,b0261,b0507,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.493317285105403,0.945759533200118,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b1982,b3616,b3589,b0261,b0507,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.512085078769987,0.0171236343388657,b3403,b1479,b2297,b2458,b2925,b2097,b1850,b3124,b3236,b0907,b2463,b1302,b2662,b3946,b2210,b0825,b0726,b0755,b3612,b2917,b2285,b3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.516091389420287,0.507821196951825,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.493317285105426,0.945759533254253,b3553,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1982,b1033,b0261,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.458847740474707,0.879676504317295,b1241,b0351,b4069,b4384,b2297,b2458,b2779,b3617,b0030,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.424453791991871,0.81373840399557,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2779,b3617,b2407,b1779,b1982,b0261,b4388,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.424452211430565,0.813640720908932,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2779,b3617,b0160,b0907,b1779,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.516091389420283,0.507821196909934,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1238,b3124,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.516091389420282,0.50782119692864,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b0030,b2407,b1982,b3616,b3589,b0261,b0411,b0507,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.424453791991809,0.813738403977445,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b2779,b3617,b0030,b2407,b1779,b1982,b0261,b4388,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.495188936467744,0.936390641924138,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3124,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.495188936467781,0.936390641924972,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3124,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.495188936467744,0.936390641908059,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.478097234057296,0.916580526490091,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b3617,b0030,b2883,b1982,b0261,b0507,b4381,b2406,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.521767990930342,0.848420580794123,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.521767990930314,0.848420580754073,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b0030,b2407,b1982,b3616,b3589,b0261,b0507,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.425961336659993,0.805482877658605,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b2779,b2926,b3617,b1982,b0675,b2361,b0261,b4388,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.516091389420349,0.507821196952639,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b0261,b0411,b4381,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.495188936467712,0.9363906418917,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b0160,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0509,b3125,b0529,b2492,b0904,b0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.55109680872836,0.435318717157487,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3617,b1982,b0675,b2361,b2291,b0261,b0507,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.493317285105459,0.945759533317668,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2407,b3124,b1982,b4374,b2361,b2291,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.424453791991961,0.813738404072539,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2407,b3124,b1779,b1982,b3616,b3589,b0261,b2913,b2406,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.424452211430635,0.81364072094467,b4382,b1241,b0351,b4069,b4384,b2744,b3115,b1849,b2296,b2779,b2926,b0030,b2407,b0907,b1982,b3616,b3589,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.516091389420282,0.507821196927772,b3399,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2883,b1982,b1623,b0261,b0411,b0507,b4381,b0112,b0114,b0529,b2492,b0904,b2954,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.523862210399286,0.838118506674849,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b1982,b3616,b3589,b0675,b2361,b0261,b0507,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.5217679909303,0.848420580777331,b3399,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b2502,b2744,b0871,b3124,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,b0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.412560685894373,0.790937624773666,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b2779,b2926,b3617,b0030,b2883,b1982,b0261,b0411,b4388,b4381,b0112,b2868,b4064,b4464,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.445612480082267,0.724587950484995,b4382,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2779,b2407,b1779,b1982,b3616,b3589,b0261,b2913,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.493317285105431,0.945759533271032,b3399,b1241,b0351,b4069,b2502,b4384,b2744,b3115,b1849,b2296,b3617,b0030,b2883,b1982,b1623,b4374,b2361,b2291,b0261,b0411,b0507,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.445610331533793,0.724485085696036,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2926,b3617,b2407,b3124,b0907,b1982,b0261,b4381,b2406,b0112,b0114,b0755,b3612,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
