Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,
7,0.27202859917572,0.0433717886295675,YPO0793,YPO0918,YPO2161,YPO1109,YPO3142,YPO0920,YPO0921,,,,,,
8,0.087183065375666,0.650497262025448,YPO0357,YPO2157,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO1149,,,,,
8,0.147498295670462,0.511819672874466,YPO0793,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO0920,YPO0921,,,,,
8,0.176919954630442,0.401143688770727,YPO2157,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO3520,,,,,
8,0.27202859917572,0.0433717886288276,YPO0918,YPO2161,YPO1109,YPO3142,YPO3141,YPO3520,YPO0914,YPO1133,,,,,
8,0.147498295670462,0.511819672875479,YPO2157,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2074,YPO3520,,,,,
9,0.147498295670462,0.511819672873912,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO3376,YPO3141,YPO3520,YPO0914,,,,
9,0.156502624552852,0.477947926832664,YPO0357,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO1149,YPO3929,YPO2393,,,,
9,0.087183065375666,0.650497262024788,YPO0357,YPO1541,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO2533,YPO0921,,,,
9,0.147498295670462,0.511819672875479,YPO0792,YPO2157,YPO3992,YPO0347,YPO1114,YPO3080,YPO3034,YPO2303,YPO3520,,,,
9,0.0931372942089463,0.716310430576366,YPO2161,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO3142,YPO1149,YPO1133,,,,
9,0.238598444724231,0.169126602375009,YPO0793,YPO2614,YPO3992,YPO0347,YPO0254,YPO3142,YPO0920,YPO1389,YPO1133,,,,
10,0.223842351578668,0.212808525994204,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO0921,YPO1149,,,
10,0.223683209410754,0.222623874083629,YPO2066,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO3358,YPO0921,YPO1171,,,
10,0.147498295670462,0.511819672875171,YPO0792,YPO3992,YPO0347,YPO1114,YPO3080,YPO3034,YPO2303,YPO3376,YPO3520,YPO1389,,,
11,0.223683209410754,0.222623874083875,YPO2066,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0440,YPO3358,YPO1171,,
11,0.187812425062736,0.360169286690718,YPO0357,YPO2066,YPO2161,YPO3992,YPO0347,YPO1114,YPO3034,YPO2303,YPO3142,YPO0440,YPO0439,,
11,0.223842351578667,0.212808525994208,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO0436,YPO3142,YPO3358,YPO3376,YPO1149,YPO0442,,
12,0.21740865982682,0.246300163275918,YPO2066,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO0440,YPO3358,YPO2559,YPO1133,YPO2836,YPO0442,
13,0.21740865982682,0.246300163278124,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO3142,YPO0440,YPO3358,YPO2559,YPO1149,YPO1133,YPO2836,YPO0442
